 # X(m)   T(K)   T(C)
   1.2500000000000001E-005   319.18318767692108        46.033187676921102     
   3.7500000000000003E-005   319.19010385912480        46.040103859124827     
   6.2500000000000001E-005   319.19701348868892        46.047013488688947     
   8.7499999999999999E-005   319.20391656561350        46.053916565613520     
   1.1250000000000001E-004   319.21081308989858        46.060813089898602     
   1.3750000000000001E-004   319.21770306154406        46.067703061544080     
   1.6250000000000002E-004   319.22458648054993        46.074586480549954     
   1.8750000000000000E-004   319.23146334691620        46.081463346916223     
   2.1250000000000002E-004   319.23833366064298        46.088333660643002     
   2.3750000000000000E-004   319.24519742173015        46.095197421730177     
   2.6250000000000004E-004   319.25205463017784        46.102054630177861     
   2.8750000000000000E-004   319.25890528598597        46.108905285985998     
   3.1250000000000001E-004   319.26574938915456        46.115749389154587     
   3.3750000000000002E-004   319.27258693968355        46.122586939683572     
   3.6250000000000003E-004   319.27941793757299        46.129417937573010     
   3.8750000000000004E-004   319.28624238282288        46.136242382822900     
   4.1250000000000000E-004   319.29306027543316        46.143060275433186     
   4.3750000000000001E-004   319.29987161540390        46.149871615403924     
   4.6250000000000002E-004   319.30667640273504        46.156676402735059     
   4.8750000000000003E-004   319.31347463742662        46.163474637426646     
   5.1250000000000004E-004   319.32026631947861        46.170266319478628     
   5.3750000000000000E-004   319.32705144889110        46.177051448891120     
   5.6250000000000007E-004   319.33383002566404        46.183830025664065     
   5.8750000000000002E-004   319.34060204979744        46.190602049797462     
   6.1249999999999998E-004   319.34736752129123        46.197367521291255     
   6.3750000000000005E-004   319.35412644014548        46.204126440145501     
   6.6250000000000000E-004   319.36087880636012        46.210878806360142     
   6.8750000000000007E-004   319.36762461993521        46.217624619935236     
   7.1250000000000003E-004   319.37436388087076        46.224363880870783     
   7.3749999999999998E-004   319.38109658916676        46.231096589166782     
   7.6250000000000005E-004   319.38782274482321        46.237822744823234     
   7.8750000000000001E-004   319.39454234784006        46.244542347840081     
   8.1250000000000007E-004   319.40125539821730        46.251255398217324     
   8.3750000000000003E-004   319.40796189595500        46.257961895955020     
   8.6250000000000009E-004   319.41466184105315        46.264661841053169     
   8.8750000000000005E-004   319.42135523351175        46.271355233511770     
   9.1250000000000001E-004   319.42804207333074        46.278042073330766     
   9.3750000000000007E-004   319.43472236051019        46.284722360510216     
   9.6250000000000003E-004   319.44139609505004        46.291396095050061     
   9.8750000000000010E-004   319.44806327695034        46.298063276950359     
   1.0124999999999999E-003   319.45472390621114        46.304723906211166     
   1.0375000000000000E-003   319.46137798283240        46.311377982832425     
   1.0625000000000001E-003   319.46802550681406        46.318025506814081     
   1.0875000000000001E-003   319.47466647815622        46.324666478156246     
   1.1125000000000000E-003   319.48130089685884        46.331300896858863     
   1.1375000000000001E-003   319.48792876292180        46.337928762921820     
   1.1625000000000001E-003   319.49455007634521        46.344550076345229     
   1.1875000000000000E-003   319.50116483712907        46.351164837129090     
   1.2125000000000000E-003   319.50777304527332        46.357773045273348     
   1.2375000000000001E-003   319.51437470077803        46.364374700778058     
   1.2625000000000002E-003   319.52096980364325        46.370969803643277     
   1.2875000000000000E-003   319.52755835386887        46.377558353868892     
   1.3125000000000001E-003   319.53414035145488        46.384140351454903     
   1.3375000000000001E-003   319.54071579640134        46.390715796401366     
   1.3625000000000000E-003   319.54728468870826        46.397284688708282     
   1.3875000000000001E-003   319.55384702837557        46.403847028375594     
   1.4125000000000001E-003   319.56040281540334        46.410402815403359     
   1.4375000000000000E-003   319.56695204979155        46.416952049791576     
   1.4625000000000000E-003   319.57349473154022        46.423494731540245     
   1.4875000000000001E-003   319.58003086064934        46.430030860649367     
   1.5125000000000002E-003   319.58656043711898        46.436560437118999     
   1.5375000000000000E-003   319.59308346094906        46.443083460949083     
   1.5625000000000001E-003   319.59959993213954        46.449599932139563     
   1.5875000000000002E-003   319.60610985069047        46.456109850690495     
   1.6125000000000000E-003   319.61261321660180        46.462613216601824     
   1.6375000000000001E-003   319.61911002987358        46.469110029873605     
   1.6625000000000001E-003   319.62560029050582        46.475600290505838     
   1.6875000000000000E-003   319.63208399849844        46.482083998498467     
