 # X(m)   T(K)   T(C)
   5.0000000000000004E-006   314.55549556589193        41.405495565891954     
   1.5000000000000002E-005   314.55549615872548        41.405496158725498     
   2.7500000000000004E-005   314.55555207871919        41.405552078719211     
   4.0000000000000003E-005   314.55566290905711        41.405662909057128     
   5.2500000000000002E-005   314.55577347040770        41.405773470407723     
   6.5000000000000008E-005   314.55588376277092        41.405883762770941     
   7.7500000000000014E-005   314.55599378614681        41.405993786146837     
   9.0000000000000019E-005   314.55610354053533        41.406103540535355     
   1.0250000000000002E-004   314.55621302593659        41.406213025936609     
   1.1500000000000003E-004   314.55632224235046        41.406322242350484     
   1.2750000000000004E-004   314.55663752959998        41.406637529600005     
   1.4000000000000004E-004   314.55715855061186        41.407158550611882     
   1.5285714285714289E-004   314.55744385221050        41.407443852210520     
   1.6571428571428575E-004   314.55747909043686        41.407479090436880     
   1.7857142857142860E-004   314.55751423873664        41.407514238736667     
   1.9142857142857145E-004   314.55754929710997        41.407549297109995     
   2.0428571428571430E-004   314.55758426555678        41.407584265556807     
   2.1714285714285715E-004   314.55761914407708        41.407619144077103     
   2.3000000000000001E-004   314.55765393267086        41.407653932670883     
   2.4499999999999999E-004   314.55767442341624        41.407674423416267     
   2.4600000000000002E-004   314.55767445730044        41.407674457300459     
   2.5600000000000004E-004   314.55767491111584        41.407674911115862     
   2.6600000000000007E-004   314.55767547972306        41.407675479723082     
   2.7850000000000005E-004   314.55772911336311        41.407729113363132     
   2.9100000000000003E-004   314.55783540127646        41.407835401276486     
   3.0350000000000000E-004   314.55794142020255        41.407941420202576     
   3.1599999999999998E-004   314.55804717014132        41.408047170141344     
   3.2849999999999996E-004   314.55815265109277        41.408152651092792     
   3.4099999999999994E-004   314.55825786305684        41.408257863056861     
   3.5349999999999992E-004   314.55836280603359        41.408362806033608     
   3.6599999999999990E-004   314.55846748002301        41.408467480023035     
   3.7849999999999988E-004   314.55876962177149        41.408769621771512     
   3.9099999999999985E-004   314.55926889420579        41.409268894205809     
   4.0385714285714271E-004   314.55954227261282        41.409542272612839     
   4.1671428571428556E-004   314.55957603442147        41.409576034421491     
   4.2957142857142841E-004   314.55960970630360        41.409609706303627     
   4.4242857142857126E-004   314.55964328825917        41.409643288259190     
   4.5528571428571412E-004   314.55967678028827        41.409676780288294     
   4.6814285714285697E-004   314.55971018239080        41.409710182390825     
   4.8099999999999982E-004   314.55974349456682        41.409743494566840     
   4.9599999999999980E-004   314.55976311324889        41.409763113248914     
   4.9699999999999983E-004   314.55976314569045        41.409763145690476     
   5.0699999999999986E-004   314.55976358017966        41.409763580179686     
   5.1699999999999988E-004   314.55976412456073        41.409764124560752     
   5.2949999999999991E-004   314.55981547184945        41.409815471849470     
   5.4199999999999995E-004   314.55991721734296        41.409917217342979     
   5.5449999999999998E-004   314.56001869384914        41.410018693849167     
   5.6700000000000001E-004   314.56011990136801        41.410119901368034     
   5.7950000000000005E-004   314.56022083989956        41.410220839899580     
   5.9200000000000008E-004   314.56032150944378        41.410321509443804     
   6.0450000000000011E-004   314.56042191000063        41.410421910000650     
   6.1700000000000014E-004   314.56052204157015        41.410522041570175     
   6.2950000000000018E-004   314.56081103783066        41.410811037830683     
   6.4200000000000021E-004   314.56128856170903        41.411288561709057     
   6.5485714285714312E-004   314.56155001693634        41.411550016936360     
   6.6771428571428602E-004   314.56158230232870        41.411582302328725     
   6.8057142857142893E-004   314.56161449779461        41.411614497794631     
   6.9342857142857183E-004   314.56164660333400        41.411646603334020     
   7.0628571428571474E-004   314.56167861894676        41.411678618946780     
   7.1914285714285765E-004   314.56171054463306        41.411710544633081     
   7.3200000000000055E-004   314.56174238039279        41.411742380392809     
   7.4700000000000059E-004   314.56176112701240        41.411761127012426     
   7.4800000000000062E-004   314.56176115801134        41.411761158011359     
   7.5800000000000064E-004   314.56176157317435        41.411761573174374     
   7.6800000000000067E-004   314.56176209332915        41.411762093329173     
   7.8050000000000070E-004   314.56181115426961        41.411811154269628     
   7.9300000000000074E-004   314.56190835734935        41.411908357349375     
   8.0550000000000077E-004   314.56200529144178        41.412005291441801     
   8.1800000000000080E-004   314.56210195654688        41.412101956546906     
   8.3050000000000083E-004   314.56219835266461        41.412198352664632     
   8.4300000000000087E-004   314.56229447979501        41.412294479795037     
   8.5550000000000090E-004   314.56239033793810        41.412390337938120     
   8.6800000000000093E-004   314.56248592709386        41.412485927093883     
