 # X(m)   T(K)   T(C)
   6.2500000000000001E-005   315.99172000003773        42.841720000037753     
   1.8750000000000000E-004   315.99281975550088        42.842819755500898     
   3.1250000000000001E-004   315.99389706697502        42.843897066975046     
   4.3750000000000001E-004   315.99495193446012        42.844951934460141     
   5.6250000000000007E-004   315.99598435795616        42.845984357956183     
   6.8749999999999996E-004   315.99699433746321        42.846994337463229     
   8.1250000000000007E-004   315.99798187298114        42.847981872981165     
   9.3749999999999997E-004   315.99894696451003        42.848946964510048     
   1.0625000000000001E-003   315.99988961204991        42.849889612049935     
   1.1875000000000000E-003   316.00080981560069        42.850809815600712     
   1.3125000000000001E-003   316.00170757516253        42.851707575162550     
   1.4375000000000000E-003   316.00258289073525        42.852582890735277     
   1.5625000000000001E-003   316.00343576231893        42.853435762318952     
   1.6875000000000000E-003   316.00426618991361        42.854266189913631     
   1.8125000000000001E-003   316.00507417351923        42.855074173519256     
   1.9375000000000000E-003   316.00585971313581        42.855859713135828     
   2.0625000000000001E-003   316.00662280876332        42.856622808763348     
   2.1875000000000002E-003   316.00736346040173        42.857363460401757     
   2.3124999999999999E-003   316.00808166805115        42.858081668051170     
   2.4375000000000000E-003   316.00877743171145        42.858777431711474     
   2.5625000000000001E-003   316.00945075138276        42.859450751382781     
   2.6875000000000002E-003   316.01010162706496        42.860101627064978     
   2.8124999999999999E-003   316.01073005875816        42.860730058758179     
   2.9375000000000000E-003   316.01133604646230        42.861336046462327     
   3.0625000000000001E-003   316.01191959017740        42.861919590177422     
   3.1875000000000002E-003   316.01248068990344        42.862480689903464     
   3.3124999999999999E-003   316.01301934564043        42.863019345640453     
   3.4375000000000000E-003   316.01353555738837        42.863535557388388     
   3.5625000000000001E-003   316.01402932514725        42.864029325147271     
   3.6875000000000002E-003   316.01450064891708        42.864500648917101     
   3.8124999999999999E-003   316.01494952869785        42.864949528697878     
   3.9375000000000000E-003   316.01537596448958        42.865375964489601     
   4.0625000000000001E-003   316.01577995629225        42.865779956292272     
   4.1875000000000002E-003   316.01616150410592        42.866161504105946     
   4.3125000000000004E-003   316.01652060793054        42.866520607930568     
   4.4375000000000005E-003   316.01685726776611        42.866857267766136     
   4.5624999999999997E-003   316.01717148361263        42.867171483612651     
   4.6874999999999998E-003   316.01746325547009        42.867463255470113     
   4.8124999999999999E-003   316.01773258333856        42.867732583338579     
   4.9375000000000000E-003   316.01797946721797        42.867979467217992     
   5.0625000000000002E-003   316.01820390710827        42.868203907108295     
   5.1875000000000003E-003   316.01840590300958        42.868405903009602     
   5.3125000000000004E-003   316.01858545492183        42.868585454921856     
   5.4375000000000005E-003   316.01874256284503        42.868742562845057     
   5.5624999999999997E-003   316.01887722677918        42.868877226779205     
   5.6874999999999998E-003   316.01898944672428        42.868989446724299     
   5.8125000000000000E-003   316.01907922268032        42.869079222680341     
   5.9375000000000001E-003   316.01914655464736        42.869146554647386     
   6.0625000000000002E-003   316.01919144262536        42.869191442625379     
   6.1875000000000003E-003   316.01921388661435        42.869213886614375     
   6.3125000000000004E-003   316.01921388661424        42.869213886614261     
   6.4375000000000005E-003   316.01919144262507        42.869191442625095     
   6.5624999999999998E-003   316.01914655464691        42.869146554646932     
   6.6874999999999999E-003   316.01907922267975        42.869079222679773     
   6.8125000000000000E-003   316.01898944672354        42.868989446723560     
   6.9375000000000001E-003   316.01887722677827        42.868877226778295     
   7.0625000000000002E-003   316.01874256284395        42.868742562843977     
   7.1875000000000003E-003   316.01858545492058        42.868585454920606     
   7.3125000000000004E-003   316.01840590300816        42.868405903008181     
   7.4375000000000005E-003   316.01820390710674        42.868203907106761     
   7.5624999999999998E-003   316.01797946721621        42.867979467216230     
   7.6874999999999999E-003   316.01773258333668        42.867732583336704     
   7.8125000000000000E-003   316.01746325546810        42.867463255468124     
   7.9375000000000001E-003   316.01717148361041        42.867171483610434     
   8.0625000000000002E-003   316.01685726776373        42.866857267763748     
   8.1875000000000003E-003   316.01652060792804        42.866520607928067     
   8.3125000000000004E-003   316.01616150410331        42.866161504103331     
   8.4375000000000006E-003   316.01577995628952        42.865779956289543     
   8.5625000000000007E-003   316.01537596448668        42.865375964486702     
   8.6875000000000008E-003   316.01494952869484        42.864949528694865     
   8.8125000000000009E-003   316.01450064891395        42.864500648913975     
   8.9375000000000010E-003   316.01402932514401        42.864029325144031     
   9.0624999999999994E-003   316.01353555738507        42.863535557385092     
   9.1874999999999995E-003   316.01301934563708        42.863019345637099     
   9.3124999999999996E-003   316.01248068990003        42.862480689900053     
   9.4374999999999997E-003   316.01191959017393        42.861919590173954     
